"encargo_fiduciario_id";"documento_id";"valor_debito"
980934;236738;195311.0
980935;230766;219821.0
980936;231651;219821.0
980937;232250;219821.0
980938;233794;219821.0
980939;235618;219821.0
980940;236423;219821.0
980941;237045;219821.0
980942;237823;219821.0
980943;230767;195311.0
980944;232070;195311.0
980945;232372;195311.0
980946;232739;195311.0
980947;233783;195311.0
980948;234910;195311.0
980949;235505;195311.0
980950;236147;195311.0
980951;236747;195311.0
980952;230768;275064.0
980953;231557;275064.0
980954;237291;275064.0
980955;237643;275064.0
980956;230769;429683.0
980957;231410;429683.0
980958;232015;429683.0
980959;232323;429683.0
980960;232982;429683.0
980961;233298;429683.0
980962;234011;429683.0
980963;235670;429683.0
980964;236440;429683.0
980965;236981;429683.0
980966;237271;429683.0
980967;237459;429683.0
980968;230770;429683.0
980969;230771;409487.0
980970;231623;409487.0
980971;232961;409487.0
980972;233662;409487.0
980973;234167;409487.0
980974;235507;409487.0
980975;236026;409487.0
980976;236418;409487.0
980977;236814;409487.0
980978;237217;409487.0
980979;237758;409487.0
980980;230772;195311.0
980981;231682;195311.0
980982;232272;195311.0
980983;230773;289221.0
980984;231574;289221.0
980985;232106;289221.0
980986;232648;289221.0
980987;232733;289221.0
980988;233777;289221.0
980989;235500;289221.0
980990;236436;289221.0
980991;236785;289221.0
980992;237128;289221.0
980993;237824;289221.0
980994;230774;207651.0
980995;231652;207651.0
980996;232674;207651.0
980997;232862;207651.0
980998;233709;207651.0
980999;234202;207651.0
981000;235504;207651.0
981001;236128;207651.0
981002;236669;207651.0
981003;236810;207651.0
981004;237048;207651.0
981005;237841;207651.0
981006;230775;195311.0
981007;231654;195311.0
981008;232275;195311.0
981009;232769;195311.0
981010;233792;195311.0
981011;230776;429683.0
981012;231411;429683.0
981013;237265;429683.0
981014;237619;429683.0
981015;230777;195311.0
981016;230778;206281.0
981017;231683;206281.0
981018;237037;206281.0
981019;230779;219156.0
981020;237198;219156.0
981021;230780;429683.0
981022;231413;429683.0
981023;231919;429683.0
981024;232378;429683.0
981025;233218;429683.0
981026;233326;429683.0
981027;233904;429683.0
981028;237181;429683.0
981029;237446;429683.0
981030;230781;429683.0
981031;231447;429683.0
981032;237049;429683.0
981033;237430;429683.0
981034;230782;429683.0
981035;231416;429683.0
981036;231928;429683.0
981037;233223;429683.0
981038;233334;429683.0
981039;237247;429683.0
981040;237523;429683.0
981041;237922;429683.0
981042;230783;207881.0
981043;232365;207881.0
981044;233005;207881.0
981045;233318;207881.0
981046;233900;207881.0
981047;235111;207881.0
981048;236172;207881.0
981049;236421;207881.0
981050;236798;207881.0
981051;237092;207881.0
981052;230784;429683.0
981053;231446;429683.0
981054;231930;429683.0
981055;232430;429683.0
981056;232863;429683.0
981057;233355;429683.0
981058;233925;429683.0
981059;235094;429683.0
981060;235793;429683.0
981061;236406;429683.0
981062;237227;429683.0
981063;237429;429683.0
981064;230785;195311.0
981065;232672;195311.0
981066;232857;195311.0
981067;233561;195311.0
981068;234147;195311.0
981069;230786;195311.0
981070;231418;195311.0
981071;231931;195311.0
981072;232375;195311.0
